"Metric","Cluster_approach","TopMP_approach","Interpretation"
"Number of states","11","12","Cluster: data-driven count; TopMP: one per non-CC MP + Unresolved"
"ARI between approaches","0.2210","0.2210","Agreement between the two partitions (0=random, 1=identical)"
"NMI between approaches","0.3445","0.3445","Mutual information normalised by entropy (0=independent, 1=identical)"
"Bootstrap ARI median (80% subsample)","0.412","1.000","Stability under 80% subsampling; higher=more stable"
"Bootstrap ARI IQR","[0.412, 0.412]","[1.000, 1.000]","Interquartile range of bootstrap ARI"
"Cramer's V (study confounding)","0.0650","0.0547","Lower = less study-confounded; 0=independent, 1=perfect association"
"Number of DEGs (top 50/state)","150","50","Total DEGs across all states (top 50 per state)"
"Hallmark pathways enriched (NES>1.5 in any state)","13",NA,"Pathways with strong enrichment signal"
